Date,Close,Open,High,Low,Vol.,Change %
03-01-17,16158.2,15960.1,16194.3,15960.1,2.34M,1.93%
04-01-17,16302.3,16140.2,16464.5,16104.2,2.36M,0.89%
05-01-17,16248.3,16284.3,16356.4,16248.3,1.42M,-0.33%
06-01-17,16194.3,16284.3,16392.4,16194.3,1.85M,-0.33%
09-01-17,16284.3,16230.3,16356.4,16176.2,1.16M,0.56%
10-01-17,16572.5,16302.3,16572.5,16266.3,2.41M,1.77%
11-01-17,16608.6,16680.6,16788.7,16608.6,1.71M,0.22%
12-01-17,16554.5,16608.6,16644.6,16518.5,1.25M,-0.33%
13-01-17,16176.2,16608.6,16716.7,16104.2,3.79M,-2.29%
16-01-17,15852,16176.2,16176.2,15852,2.07M,-2.00%
17-01-17,15996.1,15852,16140.2,15852,1.20M,0.91%
18-01-17,15779.9,16104.2,16104.2,15779.9,1.15M,-1.35%
19-01-17,15779.9,15779.9,15852,15653.9,1.36M,0.00%
20-01-17,15924.1,15779.9,16032.1,15761.9,1.53M,0.91%
23-01-17,16014.1,15996.1,16068.2,15924.1,1.06M,0.57%
24-01-17,16104.2,16104.2,16176.2,15960.1,647.59K,0.56%
25-01-17,16248.3,16176.2,16320.4,16086.2,973.74K,0.89%
02-02-17,16176.2,16284.3,16356.4,16068.2,1.13M,-0.44%
03-02-17,16104.2,16104.2,16176.2,15996.1,1.15M,-0.45%
06-02-17,15960.1,16032.1,16032.1,15924.1,1.28M,-0.89%
07-02-17,16032.1,15942.1,16104.2,15942.1,2.12M,0.45%
08-02-17,16068.2,16068.2,16194.3,16014.1,1.34M,0.23%
09-02-17,16050.2,16068.2,16104.2,16032.1,1.84M,-0.11%
10-02-17,16014.1,16032.1,16068.2,15942.1,1.42M,-0.22%
13-02-17,16140.2,16068.2,16158.2,15996.1,1.95M,0.79%
14-02-17,16716.7,16212.3,16716.7,16176.2,4.48M,3.57%
15-02-17,16572.5,16752.7,16752.7,16500.5,2.67M,-0.86%
16-02-17,16320.4,16572.5,16662.6,16320.4,2.57M,-1.52%
17-02-17,16320.4,16284.3,16392.4,16176.2,1.88M,0.00%
20-02-17,16230.3,16320.4,16356.4,16212.3,1.71M,-0.55%
21-02-17,16356.4,16320.4,16536.5,16230.3,2.44M,0.78%
22-02-17,16500.5,16464.5,16680.6,16356.4,2.84M,0.88%
23-02-17,16572.5,16536.5,16698.6,16446.5,2.41M,0.44%
24-02-17,16572.5,16572.5,16608.6,16392.4,2.15M,0.00%
27-02-17,16770.7,16572.5,16896.8,16572.5,4.14M,1.20%
28-02-17,16518.5,16788.7,16860.8,16500.5,1.82M,-1.50%
01-03-17,16464.5,16518.5,16536.5,16338.4,1.88M,-0.33%
02-03-17,16374.4,16464.5,16536.5,16356.4,1.44M,-0.55%
03-03-17,16446.5,16374.4,16536.5,16266.3,924.47K,0.44%
06-03-17,16554.5,16446.5,16608.6,16446.5,1.20M,0.66%
07-03-17,16500.5,16572.5,16572.5,16410.4,1.09M,-0.33%
08-03-17,16500.5,16464.5,16572.5,16410.4,1.12M,0.00%
09-03-17,16392.4,16500.5,16536.5,16392.4,1.19M,-0.66%
10-03-17,16572.5,16500.5,16716.7,16464.5,2.78M,1.10%
13-03-17,16482.5,16608.6,16680.6,16464.5,1.07M,-0.54%
14-03-17,16464.5,16500.5,16644.6,16464.5,1.39M,-0.11%
15-03-17,16410.4,16464.5,16536.5,16374.4,1.46M,-0.33%
16-03-17,16464.5,16428.4,16536.5,16392.4,1.41M,0.33%
17-03-17,16536.5,16536.5,16680.6,16482.5,2.28M,0.44%
20-03-17,16788.7,16536.5,16824.7,16536.5,3.63M,1.53%
