Date,Close,Open,High,Low,Vol.,Change %
03-01-17,27643,26418,27828,26418,2580000,5.08%
04-01-17,27457,27828,27903,27309,1710000,-0.67%
05-01-17,27569,27383,27680,27346,1090000,0.41%
06-01-17,28125,27606,28496,27531,3180000,2.02%
09-01-17,28719,28348,28904,28274,3040000,2.11%
10-01-17,28496,28496,28682,28459,1570000,-0.78%
11-01-17,28533,28496,28756,28385,1910000,0.13%
12-01-17,28125,28496,28570,28051,2380000,-1.43%
13-01-17,27791,27903,28422,27791,1490000,-1.19%
16-01-17,27717,27828,28051,27494,819090,-0.27%
17-01-17,28904,27828,29053,27828,2990000,4.28%
18-01-17,28422,28756,29053,28422,1460000,-1.67%
19-01-17,28199,28496,28570,28199,664850,-0.78%
20-01-17,28199,28348,28570,28199,1160000,0.00%
23-01-17,28274,28459,28459,28162,916030,0.27%
24-01-17,28645,28236,28645,28199,1150000,1.31%
25-01-17,29164,28867,29164,28496,1730000,1.81%
02-02-17,29275,29387,29387,28867,1750000,0.38%
03-02-17,28719,29312,29312,28719,1970000,-1.90%
06-02-17,28719,28719,28867,28496,1640000,0.00%
07-02-17,29127,28793,29127,28756,1950000,1.42%
08-02-17,29498,29238,29535,29016,2290000,1.27%
09-02-17,29461,29572,29609,29312,1540000,-0.13%
10-02-17,29164,29424,29424,29164,2240000,-1.01%
13-02-17,28830,29164,29164,28719,1900000,-1.15%
14-02-17,28719,28830,29016,28570,1690000,-0.39%
15-02-17,28941,28830,29164,28645,1810000,0.77%
16-02-17,28645,29090,29350,28570,1740000,-1.02%
17-02-17,28422,28719,28756,28422,1560000,-0.78%
20-02-17,28162,28570,28570,28125,1690000,-0.91%
21-02-17,28496,28199,28533,28162,1370000,1.19%
22-02-17,28125,28570,28570,28051,1020000,-1.30%
23-02-17,27903,28125,28348,27865,1860000,-0.79%
24-02-17,27791,28051,28088,27680,1000000,-0.40%
27-02-17,28348,27606,28459,27606,1150000,2.00%
28-02-17,27754,28348,28348,27754,898020,-2.10%
01-03-17,27606,27754,27903,27606,961470,-0.53%
02-03-17,27383,27903,27977,27383,1460000,-0.81%
03-03-17,27828,27606,27903,27383,659020,1.63%
06-03-17,27680,28199,28199,27680,651000,-0.53%
07-03-17,27828,27828,27828,27531,717100,0.53%
08-03-17,27977,27680,28348,27680,1140000,0.54%
09-03-17,28051,28162,28496,28051,1280000,0.26%
10-03-17,27828,28125,28348,27717,761160,-0.79%
13-03-17,27494,27531,27754,27494,1130000,-1.20%
14-03-17,27494,27494,27754,27494,641280,0.00%
15-03-17,27420,27643,27643,27420,716680,-0.27%
16-03-17,27531,27457,27643,27420,733500,0.40%
17-03-17,27457,27531,27865,27420,3960000,-0.27%
20-03-17,27865,27754,28125,27754,1380000,1.49%
21-03-17,28199,28125,28199,27903,1240000,1.20%
22-03-17,27977,28199,28459,27903,2480000,-0.79%
23-03-17,28385,27977,28570,27903,2090000,1.46%
24-03-17,28199,28570,28608,28014,1800000,-0.66%
27-03-17,28051,28199,28496,28014,2140000,-0.52%
28-03-17,27754,28051,28236,27717,2490000,-1.06%
29-03-17,27680,27643,27828,27569,1760000,-0.27%
30-03-17,27606,27680,27903,27606,1280000,-0.27%
31-03-17,27383,27606,27754,27383,2100000,-0.81%
03-04-17,27012,27383,27494,26938,2850000,-1.35%
04-04-17,27309,27086,27531,27049,1290000,1.10%
05-04-17,27346,27309,27680,27309,792060,0.14%
07-04-17,27309,27160,27383,27160,952360,-0.14%
10-04-17,27235,27383,27531,27235,894490,-0.27%
11-04-17,27383,27235,27457,27235,631480,0.54%
12-04-17,27309,27457,27457,27198,1180000,-0.27%
13-04-17,27272,27198,27569,27198,984090,-0.14%
14-04-17,26975,27235,27272,26715,1310000,-1.09%
