Date,Close,Open,High,Low,Vol.,Change %
03-01-17,100082,99213,100319,99213,782840,0.88
04-01-17,100240,100714,100793,100161,791240,0.16
05-01-17,100082,100398,100398,99687,986830,-0.16
06-01-17,99529,100082,100793,99529,1650000,-0.55
09-01-17,99529,100082,100161,99529,1090000,0
10-01-17,99608,99529,99924,99529,1100000,0.08
11-01-17,100319,99766,100477,99687,1010000,0.71
12-01-17,100319,100319,100635,100003,569740,0
13-01-17,100240,100319,100556,99924,735120,-0.08
16-01-17,99924,100319,100398,99845,723160,-0.32
17-01-17,99608,100082,100082,99608,698860,-0.32
18-01-17,99529,99529,99687,98897,1020000,-0.08
19-01-17,99529,99766,99766,99450,1040000,0
20-01-17,100319,99529,101346,99529,1910000,0.79
23-01-17,101109,100319,101978,100319,2190000,0.79
24-01-17,101109,101899,102057,101109,1120000,0
25-01-17,101899,101109,102057,101109,1780000,0.78
02-02-17,105058,102294,105374,101899,2040000,3.1
03-02-17,105769,106559,108139,105453,1930000,0.68
06-02-17,105216,105927,106006,104900,1600000,-0.52
07-02-17,105690,105216,106085,104663,886450,0.45
08-02-17,105769,105690,106164,105453,538620,0.07
09-02-17,105927,106085,106243,105848,976870,0.15
10-02-17,105690,105927,105927,105611,2510000,-0.22
13-02-17,105690,105690,105848,105374,833140,0
14-02-17,104979,105690,105769,104821,807680,-0.67
15-02-17,105058,105058,105216,104900,1030000,0.08
16-02-17,104268,105058,105374,103952,800280,-0.75
17-02-17,102689,104268,104347,102531,1140000,-1.51
20-02-17,102689,102689,103162,102689,581750,0
21-02-17,102926,102689,103716,102136,981200,0.23
22-02-17,103005,102926,103636,102847,708140,0.08
23-02-17,102926,103005,103084,101978,735900,-0.08
24-02-17,104189,102689,104189,102294,1580000,1.23
27-02-17,104110,104268,104742,104110,911710,-0.08
28-02-17,103794,104110,104189,103400,923630,-0.3
01-03-17,103320,103242,104031,103242,704620,-0.46
02-03-17,102452,103320,103320,102452,578450,-0.84
03-03-17,102610,102452,102768,102136,610160,0.15
06-03-17,103400,102452,103478,102294,883910,0.77
07-03-17,102689,102689,103320,102610,533640,-0.69
08-03-17,103162,102689,103952,102689,767230,0.46
09-03-17,103084,103400,103400,103005,491110,-0.08
10-03-17,102610,103084,103162,102610,512830,-0.46
13-03-17,102452,102689,103162,102452,410980,-0.15
14-03-17,103242,102531,103400,102531,587720,0.77
15-03-17,105058,103320,105058,103242,1420000,1.76
16-03-17,105848,105058,106164,105058,1090000,0.75
17-03-17,105848,105927,106322,105532,1240000,0
20-03-17,105769,105216,106480,104584,876310,-0.07
21-03-17,107112,105453,107428,105453,983090,1.27
22-03-17,107902,106875,109561,106875,1770000,0.74
23-03-17,110746,107902,110904,107902,2460000,2.64
24-03-17,111931,111220,112168,111141,1300000,1.07
27-03-17,112168,112878,113589,111773,1280000,0.21
28-03-17,111220,112720,112957,109798,1230000,-0.85
29-03-17,112010,110667,112168,110588,928360,0.71
30-03-17,113747,112010,113747,112010,1410000,1.55
31-03-17,113194,114300,114616,113194,1660000,-0.49
03-04-17,113984,113194,114221,113194,962440,0.7
04-04-17,113747,113984,113984,113431,1280000,-0.21
05-04-17,113273,113352,113747,112562,946600,-0.42
07-04-17,112642,111931,113115,111615,1090000,-0.56
10-04-17,112642,112642,112800,112088,725120,0
11-04-17,113352,112642,113510,112562,558480,0.63
12-04-17,113747,113747,114063,113273,909960,0.35
13-04-17,113036,113352,113668,113036,387560,-0.63
14-04-17,111931,112642,112957,111220,746820,-0.98
17-04-17,112168,111141,112642,111141,1060000,0.21
18-04-17,114063,112246,114221,112168,2280000,1.69
19-04-17,114853,114063,115248,114063,1160000,0.69
20-04-17,114458,114932,114932,114221,513190,-0.34
21-04-17,114300,114458,114774,113905,534440,-0.14
24-04-17,113747,113905,114300,113352,674880,-0.48
25-04-17,113273,113589,113589,112878,567280,-0.42
26-04-17,113668,113273,113668,112562,327190,0.35
27-04-17,115722,113905,115722,113589,1420000,1.81
28-04-17,116907,116117,117381,115880,1700000,1.02
03-05-17,117144,116986,117460,116986,1060000,0.2
04-05-17,118906,117704,119306,117384,1200000,1.5
05-05-17,117384,118105,118745,117384,629280,-1.28
08-05-17,116824,117384,117464,116183,975920,-0.48
09-05-17,115302,116744,116744,114742,1120000,-1.3
10-05-17,115623,114982,116503,114742,772080,0.28
11-05-17,115703,115943,115943,115222,559140,0.07
12-05-17,115943,115703,116343,115382,713680,0.21
15-05-17,115222,116103,116343,114822,984740,-0.62
16-05-17,114902,115302,115623,114902,637520,-0.28
17-05-17,117704,114902,118105,114902,1480000,2.44
18-05-17,116904,115703,117304,115703,696530,-0.68
19-05-17,118425,116904,118505,116664,979540,1.3
22-05-17,120347,118425,120427,118345,1450000,1.62
23-05-17,121308,120347,121708,120347,876220,0.8
24-05-17,121308,121308,121628,120107,842570,0
25-05-17,120107,121308,121308,119866,743420,-0.99
26-05-17,121708,119706,121708,119706,513490,1.33
29-05-17,121468,121708,121948,121228,427500,-0.2
30-05-17,119866,121228,121388,119546,553120,-1.32
31-05-17,119866,120107,121948,119786,1590000,0
01-06-17,121628,120907,121628,120187,716620,1.47
02-06-17,120827,120907,121708,120267,595220,-0.66
05-06-17,123069,120827,124510,120827,898900,1.86
06-06-17,123470,123309,123950,123069,287280,0.33
07-06-17,123309,123710,123790,122509,888500,-0.13
08-06-17,122989,123309,123309,122829,249290,-0.26
09-06-17,123069,123229,123309,122909,395600,0.07
12-06-17,122268,123069,123149,122108,606860,-0.65
13-06-17,121948,122188,122188,121388,763430,-0.26
14-06-17,122909,121948,123069,121868,643200,0.79
15-06-17,123149,122909,123550,122749,497450,0.2
16-06-17,122509,124110,124110,122509,1390000,-0.52
19-06-17,123630,122669,123630,122589,888640,0.92
20-06-17,122509,123630,123630,122268,1070000,-0.91
21-06-17,123149,122188,123149,121308,1100000,0.52
22-06-17,122429,122589,123149,122349,292940,-0.58
23-06-17,122509,122429,122589,122188,413900,0.07
26-06-17,122829,122509,122909,121948,320940,0.26
27-06-17,122909,122829,123069,122749,650680,0.07
28-06-17,124430,122909,124510,122909,1100000,1.24
29-06-17,123950,124510,124831,123950,375260,-0.39
30-06-17,126192,123950,126432,123950,1610000,1.81
03-07-17,125712,126512,126512,125471,674810,-0.38
04-07-17,125311,125632,125632,124991,389220,-0.32
05-07-17,125391,124991,125471,124831,526260,0.06
06-07-17,126112,126112,126672,125471,659760,0.58
07-07-17,123470,126512,126512,123470,1170000,-2.09
10-07-17,121468,123470,123870,121067,1190000,-1.62
11-07-17,122509,121468,122509,121468,621780,0.86
12-07-17,124430,123149,124831,122349,649990,1.57
13-07-17,125151,125712,125712,124911,601010,0.58
14-07-17,124190,125151,125151,124110,828520,-0.77
17-07-17,121628,123309,124110,121388,664000,-2.06
18-07-17,121708,121708,122509,120907,765440,0.07
19-07-17,122509,122509,123630,122268,450980,0.66
20-07-17,121708,121708,122429,121628,873590,-0.65
21-07-17,121308,121067,121708,121067,557930,-0.33
24-07-17,121548,120987,121708,120107,845480,0.2
25-07-17,121548,121308,121708,121067,210200,0
26-07-17,122509,121708,123069,121628,405910,0.79
27-07-17,122429,122509,122509,122268,257060,-0.07
28-07-17,122509,122429,122589,122429,410580,0.07
31-07-17,122188,122509,122509,122108,819550,-0.26
01-08-17,120987,122188,122188,120987,973900,-0.98
02-08-17,122028,120987,122108,120987,1280000,0.86
03-08-17,123309,122669,123550,122509,843370,1.05
04-08-17,123309,123309,123550,123149,349030,0
07-08-17,123069,123309,123309,122509,460920,-0.19
08-08-17,121708,123069,123069,121548,1440000,-1.11
09-08-17,120107,121708,121708,118826,1340000,-1.32
10-08-17,121308,120107,121548,120107,470830,1
11-08-17,121308,121308,121708,120107,829920,0
14-08-17,121470,121713,121713,121145,1110000,0.13
15-08-17,120496,121470,121713,120496,644580,-0.8
16-08-17,119685,120253,120253,118549,512600,-0.67
17-08-17,120740,119685,120983,119279,1010000,0.88
18-08-17,121064,120172,121226,120172,427060,0.27
21-08-17,120821,121145,121145,120821,296920,-0.2
22-08-17,120496,120902,120902,120253,502090,-0.27
23-08-17,120496,120415,120496,119928,483890,0
24-08-17,120334,120172,120496,120172,293340,-0.13
25-08-17,120496,120496,120496,120172,329530,0.13
28-08-17,120334,120496,120496,119847,387940,-0.13
29-08-17,119685,120090,120334,119604,804910,-0.54
