Date;Price;High;Low
15/12/2016;9602.3;9602.3;9602.3
16/12/2016;9352.8;9352.8;9352.8
19/12/2016;9352.8;9352.8;9352.8
21/12/2016;9415.2;9415.2;9228.1
23/12/2016;9321.7;9321.7;8978.7
26/12/2016;9539.9;9539.9;8947.6
27/12/2016;9352.8;9352.8;9352.8
28/12/2016;9290.5;9290.5;8916.4
29/12/2016;9228.1;9228.1;9228.1
30/12/2016;9352.8;9352.8;8791.7
04/01/2017;9352.8;9352.8;9103.4
05/01/2017;9321.7;9321.7;8885.2
06/01/2017;9041.1;9041.1;9041.1
10/01/2017;9228.1;9228.1;9228.1
11/01/2017;9290.5;9290.5;9290.5
13/01/2017;9072.3;9072.3;8822.9
16/01/2017;9072.3;9072.3;8822.9
17/01/2017;9072.3;9072.3;9072.3
18/01/2017;8978.7;8978.7;8978.7
19/01/2017;8916.4;8916.4;8916.4
20/01/2017;8854;8854;8822.9
23/01/2017;9103.4;9103.4;8854
24/01/2017;9352.8;9352.8;9290.5
25/01/2017;9571.1;9571.1;9041.1
02/02/2017;9727;9727;9602.3
03/02/2017;9851.7;9851.7;9851.7
06/02/2017;9602.3;9602.3;9352.8
07/02/2017;9664.6;9664.6;9352.8
08/02/2017;9602.3;9602.3;9602.3
09/02/2017;9352.8;9352.8;8978.7
10/02/2017;9103.4;9103.4;8978.7
13/02/2017;9352.8;9352.8;8760.5
14/02/2017;9290.5;9290.5;9103.4
15/02/2017;9165.8;9165.8;9165.8
16/02/2017;9259.3;9259.3;9165.8
17/02/2017;9290.5;9290.5;8978.7
20/02/2017;9290.5;9290.5;9165.8
21/02/2017;9228.1;9228.1;8667
22/02/2017;9228.1;9228.1;8854
23/02/2017;9165.8;9165.8;8916.4
24/02/2017;8978.7;8978.7;8978.7
27/02/2017;9041.1;9041.1;9041.1
28/02/2017;9041.1;9041.1;9041.1
01/03/2017;9228.1;9228.1;9228.1
02/03/2017;9290.5;9290.5;9041.1
03/03/2017;9165.8;9165.8;9165.8
06/03/2017;9041.1;9041.1;9041.1
07/03/2017;9228.1;9228.1;8978.7
08/03/2017;9197;9197;9041.1
10/03/2017;9103.4;9103.4;8916.4
13/03/2017;9165.8;9165.8;8760.5
14/03/2017;9165.8;9165.8;9165.8
15/03/2017;9165.8;9165.8;9165.8
16/03/2017;9165.8;9165.8;9165.8
17/03/2017;9165.8;9165.8;9165.8
20/03/2017;9321.7;9321.7;9072.3
21/03/2017;9352.8;9352.8;9352.8
22/03/2017;9539.9;9539.9;9321.7
23/03/2017;9477.5;9477.5;9477.5
24/03/2017;9477.5;9477.5;9477.5
27/03/2017;9539.9;9539.9;9539.9
28/03/2017;9352.8;9352.8;9352.8
29/03/2017;9352.8;9352.8;9352.8
30/03/2017;9352.8;9352.8;8916.4
31/03/2017;8916.4;8916.4;8916.4
03/04/2017;9290.5;9290.5;8916.4
04/04/2017;9352.8;9352.8;9352.8
05/04/2017;9103.4;9103.4;9041.1
07/04/2017;9041.1;9041.1;8854
10/04/2017;9165.8;9165.8;9041.1
11/04/2017;9103.4;9103.4;8916.4
12/04/2017;9228.1;9228.1;9041.1
13/04/2017;9290.5;9290.5;9041.1
14/04/2017;9259.3;9259.3;9259.3
17/04/2017;8729.3;8729.3;8729.3
18/04/2017;9041.1;9041.1;9041.1
19/04/2017;9041.1;9041.1;9041.1
20/04/2017;8978.7;8978.7;8729.3
21/04/2017;8885.2;8885.2;8885.2
24/04/2017;8978.7;8978.7;8417.6
25/04/2017;9228.1;9228.1;8386.4
26/04/2017;8822.9;8822.9;8822.9
27/04/2017;8978.7;8978.7;8854
28/04/2017;8978.7;8978.7;8916.4
03/05/2017;9009.9;9009.9;8729.3
04/05/2017;8978.7;8978.7;8729.3
05/05/2017;9009.9;9009.9;8729.3
08/05/2017;8978.7;8978.7;8978.7
09/05/2017;8978.7;8978.7;8854
10/05/2017;8791.7;8791.7;8729.3
11/05/2017;8854;8854;8791.7
12/05/2017;8854;8854;8698.1
15/05/2017;9041.1;9041.1;8729.3
16/05/2017;9041.1;9041.1;9041.1
17/05/2017;8947.6;8947.6;8822.9
18/05/2017;8916.4;8916.4;8854
19/05/2017;8916.4;8916.4;8729.3
22/05/2017;8978.7;8978.7;8916.4
23/05/2017;9165.8;9165.8;9041.1
24/05/2017;9228.1;9228.1;9103.4
25/05/2017;9789.3;9789.3;9165.8
26/05/2017;9352.8;9352.8;9321.7
29/05/2017;9197;9197;9197
30/05/2017;9477.5;9477.5;9197
31/05/2017;9602.3;9602.3;9477.5
01/06/2017;9664.6;9664.6;9602.3
02/06/2017;9664.6;9664.6;9664.6
05/06/2017;9633.4;9633.4;9539.9
06/06/2017;9290.5;9290.5;9290.5
07/06/2017;9539.9;9539.9;9352.8
08/06/2017;9539.9;9539.9;9477.5
09/06/2017;9664.6;9664.6;9477.5
12/06/2017;9664.6;9664.6;9664.6
13/06/2017;9976.4;9976.4;9976.4
14/06/2017;9976.4;9976.4;9477.5
15/06/2017;9945.2;9945.2;9602.3
16/06/2017;9914;9914;9352.8
19/06/2017;9789.3;9789.3;9602.3
20/06/2017;10319.3;10319.3;9789.3
21/06/2017;10599.9;10599.9;10101.1
22/06/2017;11316.9;11316.9;10662.2
23/06/2017;11472.8;11472.8;11285.8
26/06/2017;11316.9;11316.9;11098.7
27/06/2017;10662.2;10662.2;10599.9
28/06/2017;10693.4;10693.4;10599.9
29/06/2017;10662.2;10662.2;10225.8
30/06/2017;10288.1;10288.1;10163.4
03/07/2017;9945.2;9945.2;9851.7
04/07/2017;10194.6;10194.6;9914
05/07/2017;10288.1;10288.1;9976.4
06/07/2017;10163.4;10163.4;9976.4
07/07/2017;10163.4;10163.4;9976.4
10/07/2017;10101.1;10101.1;9976.4
11/07/2017;10225.8;10225.8;10038.7
12/07/2017;10412.8;10412.8;10101.1
13/07/2017;11129.9;11129.9;10724.6
14/07/2017;10786.9;10786.9;10786.9
17/07/2017;11036.4;11036.4;10911.7
18/07/2017;10599.9;10599.9;10350.5
19/07/2017;10599.9;10599.9;10225.8
20/07/2017;10350.5;10350.5;10101.1
21/07/2017;10444;10444;10444
24/07/2017;10288.1;10288.1;10288.1
25/07/2017;10568.7;10568.7;10319.3
26/07/2017;10568.7;10568.7;10319.3
27/07/2017;10880.5;10880.5;10599.9
28/07/2017;11036.4;11036.4;10849.3
31/07/2017;11036.4;11036.4;10880.5
01/08/2017;11098.7;11098.7;10974
02/08/2017;11161.1;11161.1;10786.9
03/08/2017;11129.9;11129.9;11129.9
04/08/2017;11192.2;11192.2;11036.4
07/08/2017;11223.4;11223.4;11036.4
08/08/2017;11223.4;11223.4;11036.4
09/08/2017;11098.7;11098.7;10911.7
10/08/2017;11164.8;11164.8;10834.5
11/08/2017;11032.6;11032.6;10834.5
14/08/2017;10966.6;10966.6;10768.4
15/08/2017;10834.5;10834.5;10834.5
16/08/2017;10801.4;10801.4;10570.2
17/08/2017;10636.3;10636.3;10636.3
18/08/2017;10372;10372;10372
21/08/2017;10339;10339;10305.9
22/08/2017;11032.6;11032.6;10372
23/08/2017;11032.6;11032.6;11032.6
24/08/2017;10768.4;10768.4;10768.4
25/08/2017;10636.3;10636.3;10636.3
28/08/2017;10603.2;10603.2;10570.2
29/08/2017;10702.3;10702.3;10570.2
30/08/2017;10966.6;10966.6;10900.5
31/08/2017;10900.5;10900.5;10834.5
01/09/2017;11032.6;11032.6;10999.6
05/09/2017;11032.6;11032.6;10801.4
06/09/2017;11396;11396;11098.7
07/09/2017;11429;11429;11230.8
08/09/2017;11363;11363;10834.5
11/09/2017;11230.8;11230.8;11032.6
12/09/2017;11164.8;11164.8;11032.6
13/09/2017;11098.7;11098.7;11098.7
14/09/2017;11032.6;11032.6;11032.6
15/09/2017;11164.8;11164.8;11098.7
18/09/2017;11164.8;11164.8;11098.7
19/09/2017;11164.8;11164.8;11098.7
20/09/2017;11164.8;11164.8;10900.5
21/09/2017;11363;11363;11164.8
22/09/2017;11495.1;11495.1;11363
25/09/2017;11429;11429;11296.9
26/09/2017;11296.9;11296.9;11296.9
27/09/2017;11230.8;11230.8;11230.8
28/09/2017;11032.6;11032.6;11032.6
29/09/2017;11032.6;11032.6;11032.6
02/10/2017;11396;11396;11098.7
03/10/2017;11164.8;11164.8;11098.7
04/10/2017;11230.8;11230.8;11098.7
05/10/2017;11230.8;11230.8;11230.8
06/10/2017;11098.7;11098.7;11098.7
09/10/2017;11164.8;11164.8;11164.8
10/10/2017;11230.8;11230.8;11164.8
11/10/2017;11164.8;11164.8;11164.8
12/10/2017;11098.7;11098.7;11032.6
13/10/2017;11363;11363;11098.7
16/10/2017;11230.8;11230.8;11230.8
17/10/2017;11957.5;11957.5;11230.8
18/10/2017;12320.9;12320.9;11891.5
19/10/2017;12023.6;12023.6;11891.5
20/10/2017;11858.4;11858.4;11627.2
23/10/2017;11825.4;11825.4;11693.3
24/10/2017;12089.7;12089.7;11693.3
25/10/2017;12023.6;12023.6;11957.5
26/10/2017;12122.7;12122.7;11891.5
27/10/2017;12221.8;12221.8;12023.6
30/10/2017;12353.9;12353.9;12122.7
31/10/2017;12353.9;12353.9;12353.9
01/11/2017;12981.5;12981.5;12287.9
02/11/2017;13410.9;13410.9;13014.6
03/11/2017;13344.9;13344.9;12948.5
06/11/2017;13873.4;13873.4;13212.8
07/11/2017;14468;14468;13873.4
08/11/2017;15194.7;15194.7;14534
09/11/2017;16053.5;16053.5;15326.8
10/11/2017;15062.5;15062.5;15062.5
13/11/2017;16086.5;16086.5;14732.2
14/11/2017;16251.7;16251.7;15822.3
15/11/2017;16053.5;16053.5;15921.4
16/11/2017;16053.5;16053.5;15591
17/11/2017;15657.1;15657.1;15591
20/11/2017;16582;16582;15525
21/11/2017;17044.5;17044.5;16615
22/11/2017;16846.3;16846.3;16714.1
23/11/2017;17011.4;17011.4;16912.3
24/11/2017;17341.7;17341.7;16879.3
27/11/2017;18530.9;18530.9;18134.5
28/11/2017;19554.9;19554.9;18530.9
29/11/2017;19290.6;19290.6;19290.6
30/11/2017;19554.9;19554.9;19290.6
01/12/2017;19753.1;19753.1;19026.4
04/12/2017;20611.9;20611.9;20149.4
05/12/2017;21008.3;21008.3;20017.3
06/12/2017;22065.3;22065.3;20876.1
07/12/2017;23584.8;23584.8;22461.7
08/12/2017;25203.3;25203.3;24443.6
11/12/2017;26425.5;26425.5;24311.5
12/12/2017;28275.3;28275.3;27020.1
13/12/2017;30224.2;30224.2;29860.8
14/12/2017;32338.2;32338.2;31710.6
15/12/2017;30092;30092;30092
18/12/2017;28011;28011;28011
19/12/2017;26062.2;26062.2;26062.2
20/12/2017;24245.4;24245.4;24245.4
21/12/2017;22560.8;22560.8;22560.8
22/12/2017;21008.3;21008.3;21008.3
25/12/2017;22461.7;22461.7;19554.9
26/12/2017;20909.2;20909.2;20909.2
27/12/2017;19455.8;19455.8;19455.8
