Date;Price;High;Low
15/12/2016;20446;20667.4;19929.3
16/12/2016;20298.3;20667.4;19929.3
19/12/2016;20298.3;20409.1;20150.7
20/12/2016;20076.9;20298.3;19929.3
21/12/2016;19855.5;20372.1;19560.2
22/12/2016;19855.5;19929.3;19486.4
23/12/2016;19781.6;20298.3;19781.6
26/12/2016;19855.5;20372.1;19781.6
27/12/2016;19781.6;19855.5;19486.4
28/12/2016;19486.4;19781.6;19338.8
29/12/2016;19412.6;19486.4;19338.8
30/12/2016;19560.2;20076.9;19412.6
03/01/2017;19634;20224.5;19560.2
04/01/2017;19191.2;19670.9;19191.2
05/01/2017;19117.3;19265;19043.5
06/01/2017;18600.7;19412.6;18453
09/01/2017;18600.7;19486.4;18453
10/01/2017;18084;18600.7;18084
11/01/2017;18157.8;18600.7;17825.6
12/01/2017;18305.4;18969.7;18157.8
13/01/2017;18453;18822.1;18305.4
16/01/2017;18084;18895.9;17862.5
17/01/2017;18157.8;18563.7;18010.2
18/01/2017;18379.2;18453;18157.8
19/01/2017;18305.4;18379.2;17973.3
20/01/2017;17714.9;18895.9;17714.9
23/01/2017;17714.9;18157.8;17714.9
24/01/2017;17714.9;18157.8;17345.8
25/01/2017;18010.2;18010.2;16976.8
02/02/2017;18010.2;18231.6;17862.5
03/02/2017;17862.5;18010.2;17714.9
06/02/2017;17493.5;17862.5;17345.8
07/02/2017;17345.8;17567.3;17050.6
08/02/2017;17936.3;17936.3;17198.2
09/02/2017;18305.4;18342.3;17714.9
10/02/2017;17936.3;18600.7;17936.3
13/02/2017;18305.4;18305.4;17419.7
14/02/2017;18231.6;18453;18084
15/02/2017;18305.4;18379.2;18157.8
16/02/2017;17936.3;18416.1;17936.3
17/02/2017;17936.3;17973.3;17198.2
20/02/2017;17345.8;18157.8;17345.8
21/02/2017;17345.8;17493.5;17198.2
22/02/2017;17345.8;17714.9;17124.4
23/02/2017;17272;17345.8;17013.7
24/02/2017;16976.8;17272;16607.7
27/02/2017;17235.1;17272;16903
28/02/2017;17345.8;17567.3;16976.8
01/03/2017;17345.8;17382.8;17050.6
02/03/2017;17345.8;17641.1;17124.4
03/03/2017;17272;17493.5;16976.8
06/03/2017;17272;17345.8;16976.8
07/03/2017;17345.8;17714.9;17050.6
08/03/2017;18231.6;18231.6;17050.6
09/03/2017;18157.8;18453;17936.3
10/03/2017;17714.9;18157.8;17345.8
13/03/2017;17714.9;18084;17272
14/03/2017;17936.3;18010.2;17641.1
15/03/2017;17973.3;18084;17641.1
16/03/2017;17936.3;18231.6;17567.3
17/03/2017;17936.3;18010.2;17567.3
20/03/2017;17936.3;18157.8;17788.7
21/03/2017;17714.9;18157.8;17714.9
22/03/2017;17714.9;17862.5;17641.1
23/03/2017;17788.7;17862.5;17493.5
24/03/2017;17788.7;17862.5;17567.3
27/03/2017;17973.3;18084;17567.3
28/03/2017;17714.9;18120.9;17714.9
29/03/2017;17567.3;17714.9;17567.3
30/03/2017;17124.4;17641.1;17124.4
31/03/2017;17419.7;17641.1;16976.8
03/04/2017;17493.5;17714.9;17161.3
04/04/2017;17050.6;17567.3;17050.6
05/04/2017;17308.9;17382.8;17050.6
07/04/2017;17345.8;17419.7;17198.2
10/04/2017;17419.7;17493.5;17124.4
11/04/2017;17050.6;17456.6;16976.8
12/04/2017;17050.6;17050.6;16829.2
13/04/2017;16903;16903;16607.7
14/04/2017;16607.7;16681.5;16533.9
17/04/2017;16607.7;16607.7;16238.7
18/04/2017;16976.8;16976.8;15869.6
19/04/2017;17431.5;17431.5;17128.4
20/04/2017;17431.5;17583.1;17431.5
21/04/2017;17545.2;17810.5;17431.5
24/04/2017;17583.1;17583.1;17128.4
25/04/2017;17431.5;17734.7;17279.9
26/04/2017;17431.5;17431.5;17128.4
27/04/2017;17507.3;17734.7;17128.4
28/04/2017;17431.5;17507.3;17279.9
03/05/2017;17355.7;17469.4;17128.4
04/05/2017;17355.7;17431.5;17279.9
05/05/2017;17393.6;17469.4;17279.9
08/05/2017;17393.6;17469.4;17204.2
09/05/2017;17393.6;17431.5;17204.2
10/05/2017;17393.6;17431.5;17204.2
11/05/2017;17279.9;17431.5;17166.3
12/05/2017;17052.6;17393.6;17052.6
15/05/2017;17052.6;17355.7;16825.2
16/05/2017;17014.7;17128.4;16976.8
17/05/2017;16673.6;17014.7;16597.8
18/05/2017;16597.8;16976.8;15764.2
19/05/2017;16597.8;16673.6;16294.7
22/05/2017;16446.3;16673.6;16218.9
23/05/2017;16370.5;16446.3;16143.1
24/05/2017;16218.9;16370.5;16067.3
25/05/2017;16332.6;16370.5;15991.5
26/05/2017;16522.1;16976.8;16181
29/05/2017;17204.2;17658.9;16673.6
30/05/2017;17279.9;17507.3;17204.2
31/05/2017;17204.2;17355.7;16976.8
01/06/2017;17166.3;17242.1;16901
02/06/2017;16673.6;17166.3;16673.6
05/06/2017;16976.8;17052.6;16673.6
06/06/2017;16749.4;16976.8;16673.6
07/06/2017;16522.1;16901;16522.1
08/06/2017;16446.3;16749.4;16446.3
09/06/2017;16218.9;16673.6;16218.9
12/06/2017;16673.6;17279.9;15991.5
13/06/2017;16976.8;17431.5;16673.6
14/06/2017;17052.6;17128.4;16825.2
15/06/2017;17052.6;17355.7;16901
16/06/2017;17128.4;17204.2;16294.7
19/06/2017;18303.1;18303.1;17128.4
20/06/2017;18644.2;18947.3;18644.2
21/06/2017;18265.2;19098.9;18189.4
22/06/2017;18341;18492.6;17810.5
23/06/2017;17696.8;18492.6;17696.8
26/06/2017;18189.4;18189.4;17810.5
27/06/2017;18037.8;18492.6;17962
28/06/2017;17431.5;18037.8;17431.5
29/06/2017;17583.1;17962;17431.5
30/06/2017;17431.5;17772.6;17431.5
03/07/2017;17507.3;17583.1;17052.6
04/07/2017;17583.1;17583.1;17052.6
05/07/2017;17204.2;17507.3;17128.4
06/07/2017;17583.1;17583.1;16749.4
07/07/2017;17431.5;18037.8;17431.5
10/07/2017;17204.2;17962;17166.3
11/07/2017;17204.2;17583.1;17128.4
12/07/2017;17317.8;17962;17279.9
13/07/2017;17204.2;17658.9;16825.2
14/07/2017;17090.5;17431.5;16825.2
17/07/2017;17014.7;17128.4;16938.9
18/07/2017;16825.2;17090.5;16825.2
