Date,Price,Open,High,Low,Vol.,Change
12/30/2022,4300,4000,4300,4000,0.7,-0.0227
12/29/2022,4400,4100,4400,4100,7000,0.0732
12/28/2022,4100,3800,4100,3800,5600,0
12/27/2022,4100,3900,4100,3800,11700,0
12/26/2022,4100,4500,4500,4500,,0
12/23/2022,4100,4100,4100,4100,0.2,0
12/22/2022,4100,3800,4100,3700,12200,0
12/21/2022,4100,4300,4300,3900,3300,-0.0238
12/20/2022,4200,4000,4200,3900,1800,-0.0233
12/19/2022,4300,4300,4300,4200,0.5,0
12/16/2022,4300,4300,4300,4300,0.1,0
12/15/2022,4300,4000,4400,4000,9900,0
12/14/2022,4300,4000,4300,3900,13800,0
12/13/2022,4300,3900,4300,3900,3900,0
12/12/2022,4300,4400,4400,4000,8900,0
12/9/2022,4300,4300,4300,4100,1800,0.0488
12/8/2022,4100,4400,4400,4000,3600,0
12/7/2022,4100,4300,4600,4100,8700,-0.0682
12/6/2022,4400,4500,4700,4300,7700,-0.0435
12/5/2022,4600,4600,4900,4500,10100,-0.0612
12/2/2022,4900,4500,5000,4500,7700,0.0208
12/1/2022,4800,4500,4800,4400,60700,0.0213
11/30/2022,4700,4500,4700,4400,6200,0
11/29/2022,4700,4600,4700,4600,2100,0.0217
11/28/2022,4600,4500,4600,4100,16700,0.0455
11/25/2022,4400,4400,4500,4400,1100,-0.0222
11/24/2022,4500,4300,4500,4200,3200,0
11/23/2022,4500,4700,4800,4300,20800,-0.0426
11/22/2022,4700,4400,4700,4400,18000,-0.0208
11/21/2022,4800,4800,4800,4800,0.1,0.0213
11/18/2022,4700,4600,4700,4500,24100,-0.06
11/17/2022,5000,4400,5000,4400,12800,0.0638
11/16/2022,4700,4100,4700,4100,24600,0.0444
11/15/2022,4500,4100,4500,4100,4600,0
11/14/2022,4500,4200,4500,4200,2800,-0.0217
11/11/2022,4600,4500,4600,4500,1500,0
11/8/2022,4600,4300,4600,4300,3200,-0.0213
11/4/2022,4700,4300,4700,4200,8500,0.0217
11/3/2022,4600,4900,4900,4100,20000,0.0222
11/2/2022,4500,4600,4900,4500,7300,-0.0816
11/1/2022,4900,4600,4900,4600,3700,0
10/31/2022,4900,4900,4900,4900,0.1,0.0652
10/28/2022,4600,4700,4900,4600,6600,-0.0417
10/27/2022,4800,4700,4800,4700,7900,0.0435
10/26/2022,4600,4500,4700,4400,3600,0.0222
10/25/2022,4500,4600,4800,4500,4900,-0.0816
10/24/2022,4900,4700,4900,4600,4600,-0.0392
10/21/2022,5100,4800,5100,4600,11000,0
10/20/2022,5100,5100,5500,4600,2100,0
10/19/2022,5100,5100,5100,4800,1100,0.02
10/18/2022,5000,5200,5200,4800,5200,0.0417
10/17/2022,4800,4700,5200,4700,2600,-0.0769
10/14/2022,5200,4800,5200,4800,2700,0
10/12/2022,5200,4800,5200,4800,10000,-0.0189
10/11/2022,5300,5000,5300,5000,1200,0
10/10/2022,5300,5100,5300,5100,2620,-0.0185
10/7/2022,5400,5100,5400,5000,10000,-0.0182
10/6/2022,5500,5200,5500,5200,1100,0
10/5/2022,5500,5300,5600,5100,14600,-0.0179
10/4/2022,5600,5300,5600,5300,1400,0
10/3/2022,5600,5500,5600,5300,4800,-0.0175
9/29/2022,5700,5600,5800,5500,3510,0.0556
9/28/2022,5400,5400,5400,5400,13200,-0.0526
9/27/2022,5700,5400,5700,5300,1000,-0.0172
9/26/2022,5800,5900,5900,5400,15100,-0.0169
9/23/2022,5900,5900,5900,5600,5100,0
9/22/2022,5900,5700,5900,5700,3120,0.0172
9/21/2022,5800,5700,5800,5700,0.4,0
9/20/2022,5800,5700,5800,5500,4000,0.0175
9/19/2022,5700,5800,5800,5500,1320,0.0179
9/16/2022,5600,5600,5600,5600,1100,-0.0508
9/15/2022,5900,5600,5900,5600,7500,0
9/14/2022,5900,5700,5900,5700,1800,0
9/13/2022,5900,5700,6000,5600,11300,0
9/12/2022,5900,5900,6000,5400,4400,-0.0167
9/9/2022,6000,5700,6000,5700,3300,0
9/8/2022,6000,5900,6000,5900,1300,0
9/7/2022,6000,6000,6000,5600,3700,0.0345
9/6/2022,5800,5800,6000,5700,6300,-0.0169
9/5/2022,5900,5900,5900,5800,9500,-0.0167
8/31/2022,6000,5900,6100,5700,6100,-0.0164
8/30/2022,6100,6000,6100,5900,3900,0.0339
8/29/2022,5900,5900,6000,5700,22400,-0.0328
8/26/2022,6100,6200,6300,6000,3900,-0.0161
8/25/2022,6200,6000,6200,6000,6700,0
8/24/2022,6200,6100,6500,6000,26900,0.0333
8/23/2022,6000,5900,6000,5800,13300,0.0714
8/22/2022,5600,6100,6100,5600,25800,-0.082
8/19/2022,6100,6200,6300,5800,37000,-0.0161
8/18/2022,6200,5800,6400,5500,51100,0.0164
8/17/2022,6100,6000,6100,5800,12300,0
8/16/2022,6100,6300,6300,5900,48300,-0.0469
8/15/2022,6400,6200,6500,6000,27900,0.0159
8/12/2022,6300,5900,6400,5900,53700,0.0678
8/11/2022,5900,5500,5900,5500,127900,0.0926
8/10/2022,5400,5300,5500,5200,7900,0
8/9/2022,5400,5600,5600,5200,13800,0
