Date,Price,Open,High,Low,Vol.,Change
1/10/2017,8419,8599,8599,8329,484450,0.0108
1/11/2017,8329,8419,8419,8239,357630,-0.0107
1/12/2017,7564,8104,8104,7564,107940,-0.0918
1/13/2017,6843,7339,7339,6798,145860,-0.0953
1/16/2017,6888,6933,6933,6708,277200,0.0066
1/17/2017,7068,6753,7068,6753,82840,0.0261
1/18/2017,7113,7068,7113,6978,42080,0.0064
1/19/2017,7203,7068,7203,7023,150710,0.0127
1/20/2017,7158,7113,7429,7113,107500,-0.0062
1/23/2017,7293,7429,7609,7293,87110,0.0189
1/24/2017,7654,7519,7654,7519,130370,0.0495
1/25/2017,7609,7609,7609,7609,3320,-0.0059
2/2/2017,7339,7609,7609,7248,20230,-0.0355
2/3/2017,7519,7248,7609,7248,16270,0.0245
2/6/2017,7429,7474,7474,7429,154670,-0.012
2/7/2017,7429,7429,7429,7429,49280,0
2/8/2017,7339,7429,7429,7339,23620,-0.0121
2/9/2017,7384,7429,7564,7384,57420,0.0061
2/10/2017,7609,7429,7609,7429,26060,0.0305
2/13/2017,7564,7384,7564,7384,49980,-0.0059
2/14/2017,7474,7474,7519,7474,36530,-0.0119
2/15/2017,7519,7429,7654,7429,110540,0.006
2/16/2017,7654,7609,7744,7609,128420,0.018
2/17/2017,7564,7564,7564,7564,3180,-0.0118
2/20/2017,7609,7564,7744,7564,42470,0.0059
2/21/2017,7654,7609,7654,7564,26290,0.0059
2/22/2017,7609,7654,7699,7609,84580,-0.0059
2/23/2017,7564,7654,7654,7564,124170,-0.0059
2/24/2017,7654,7654,7654,7609,61990,0.0119
2/27/2017,7654,7654,7654,7609,34480,0
2/28/2017,7699,7609,7744,7609,27730,0.0059
3/1/2017,7789,7699,7879,7699,16820,0.0117
3/2/2017,7879,7924,8239,7834,35560,0.0116
3/3/2017,7969,7924,7969,7924,27430,0.0114
3/6/2017,7879,7969,7969,7879,42790,-0.0113
3/7/2017,7924,7744,7969,7744,31510,0.0057
3/8/2017,7789,7789,7789,7789,8250,-0.017
3/9/2017,7789,7789,7789,7744,13650,0
3/10/2017,7879,7789,7879,7789,2890,0.0116
3/13/2017,7879,7879,7924,7879,7250,0
3/14/2017,7924,7879,7969,7879,26080,0.0057
3/15/2017,7879,7834,7879,7789,87020,-0.0057
3/16/2017,7879,7879,7879,7879,26070,0
3/17/2017,7924,7924,7924,7924,9830,0.0057
3/20/2017,7834,7924,7924,7834,31110,-0.0114
