Date,Price,Open,High,Low,Vol,Change
12/30/2022,11840.00,11850.00,11900.00,11780.00,571310.00,-0.0042
12/29/2022,11890.00,11880.00,11900.00,11780.00,443430.00,0.0034
12/28/2022,11850.00,11960.00,12040.00,11760.00,941810.00,-0.0059
12/27/2022,11920.00,11960.00,12000.00,11850.00,745190.00,-0.0181
12/23/2022,12140.00,11970.00,12150.00,11960.00,641660.00,0.0159
12/22/2022,11950.00,12030.00,12070.00,11860.00,719900.00,-0.0091
12/21/2022,12060.00,12000.00,12110.00,11860.00,927280.00,0.0067
12/20/2022,11980.00,12030.00,12070.00,11930.00,546700.00,-0.014
12/19/2022,12150.00,12320.00,12360.00,12100.00,494230.00,-0.0288
12/16/2022,12510.00,12510.00,12600.00,12480.00,468030.00,-0.0079
12/15/2022,12610.00,12650.00,12750.00,12560.00,1600000.00,-0.0055
12/14/2022,12680.00,12880.00,12920.00,12560.00,749590.00,-0.0078
12/13/2022,12780.00,12840.00,12900.00,12710.00,523380.00,0.0167
12/12/2022,12570.00,12600.00,12610.00,12510.00,860230.00,-0.0218
12/9/2022,12850.00,12940.00,12970.00,12820.00,763130.00,0.0023
12/8/2022,12820.00,12800.00,12840.00,12700.00,639420.00,0.0094
12/7/2022,12700.00,12520.00,12710.00,12520.00,764650.00,0.0152
12/6/2022,12510.00,12710.00,12740.00,12470.00,1240000.00,-0.0406
12/5/2022,13040.00,13080.00,13130.00,12970.00,1800000.00,0.0156
12/2/2022,12840.00,12760.00,12900.00,12730.00,1140000.00,0.0363
12/1/2022,12390.00,12510.00,12550.00,12310.00,1220000.00,-0.0305
11/30/2022,12780.00,12390.00,12780.00,12380.00,1590000.00,0.0475
11/29/2022,12200.00,12180.00,12220.00,12090.00,1540000.00,0.0339
11/28/2022,11800.00,11820.00,12000.00,11770.00,1240000.00,0.0199
11/25/2022,11570.00,11450.00,11600.00,11370.00,528640.00,0.0405
11/23/2022,11120.00,11110.00,11150.00,11060.00,450550.00,-0.0027
11/22/2022,11150.00,11150.00,11180.00,11080.00,542670.00,-0.0018
11/21/2022,11170.00,11250.00,11280.00,11130.00,538050.00,-0.0185
11/18/2022,11380.00,11600.00,11610.00,11340.00,591470.00,-0.0087
11/17/2022,11480.00,11490.00,11520.00,11300.00,1380000.00,0.0195
11/16/2022,11260.00,11150.00,11340.00,11140.00,1290000.00,0.033
11/15/2022,10900.00,11000.00,11020.00,10730.00,1130000.00,-0.0037
11/14/2022,10940.00,11080.00,11200.00,10920.00,1630000.00,-0.0241
11/11/2022,11210.00,11090.00,11300.00,10980.00,1640000.00,0.0228
11/10/2022,10960.00,11240.00,11250.00,10900.00,906800.00,-0.0045
11/9/2022,11010.00,11180.00,11180.00,11000.00,328500.00,-0.0213
11/8/2022,11250.00,11100.00,11270.00,11100.00,597510.00,0.0181
11/7/2022,11050.00,11210.00,11210.00,11010.00,530990.00,-0.0256
11/4/2022,11340.00,11360.00,11420.00,11180.00,731170.00,-0.0026
11/3/2022,11370.00,11480.00,11480.00,11350.00,372170.00,-0.0096
11/2/2022,11480.00,11560.00,11740.00,11470.00,324120.00,-0.0052
11/1/2022,11540.00,11800.00,11850.00,11540.00,348030.00,-0.012
10/31/2022,11680.00,11670.00,11720.00,11640.00,192480.00,-0.006
10/28/2022,11750.00,11750.00,11780.00,11650.00,232520.00,-0.0017
10/27/2022,11770.00,11790.00,11810.00,11710.00,496910.00,0.0262
10/26/2022,11470.00,11260.00,11550.00,11260.00,695160.00,0.0106
10/25/2022,11350.00,11350.00,11410.00,11290.00,467610.00,-0.0009
10/24/2022,11360.00,11430.00,11430.00,11270.00,688720.00,-0.043
10/21/2022,11870.00,11740.00,11880.00,11580.00,891060.00,-0.0214
10/20/2022,12130.00,12270.00,12270.00,12100.00,149700.00,-0.0074
10/19/2022,12220.00,12330.00,12350.00,12170.00,308450.00,-0.0153
10/18/2022,12410.00,12490.00,12490.00,12350.00,406900.00,0.0065
10/17/2022,12330.00,12290.00,12380.00,12290.00,173130.00,0.0041
10/14/2022,12280.00,12500.00,12640.00,12250.00,123140.00,-0.0192
10/13/2022,12520.00,12190.00,12530.00,12020.00,635120.00,0.0154
10/12/2022,12330.00,12200.00,12360.00,12200.00,257210.00,0.0249
