Date,Open,High,Low,Close,Adj Close,Volume
1/3/2012,11.00,11.25,10.99,11.13,6.58,45709900.00
1/4/2012,11.15,11.53,11.07,11.30,6.68,79725200.00
1/5/2012,11.33,11.63,11.24,11.59,6.85,67877500.00
1/6/2012,11.74,11.80,11.52,11.71,6.92,59840700.00
1/9/2012,11.83,11.95,11.70,11.80,6.98,53981500.00
1/10/2012,12.00,12.05,11.63,11.80,6.98,121750600.00
1/11/2012,11.74,12.18,11.65,12.07,7.13,63806000.00
1/12/2012,12.16,12.18,11.89,12.14,7.18,48687700.00
1/13/2012,12.01,12.08,11.84,12.04,7.12,46366700.00
1/17/2012,12.20,12.26,11.96,12.02,7.11,44398400.00
1/18/2012,12.03,12.37,12.00,12.34,7.29,47102700.00
1/19/2012,12.48,12.72,12.43,12.61,7.45,70894200.00
1/20/2012,12.55,12.64,12.45,12.59,7.44,43705700.00
1/23/2012,12.69,12.84,12.55,12.66,7.48,49379700.00
1/24/2012,12.56,12.86,12.46,12.82,7.58,45768400.00
1/25/2012,12.80,12.98,12.70,12.93,7.64,54021600.00
1/26/2012,13.03,13.05,12.66,12.79,7.56,75470700.00
1/27/2012,11.96,12.53,11.79,12.21,7.25,142155300.00
1/30/2012,12.06,12.44,12.00,12.29,7.29,57752600.00
1/31/2012,12.47,12.51,12.20,12.42,7.37,46412100.00
2/1/2012,12.73,12.75,12.29,12.33,7.32,71669000.00
2/2/2012,12.40,12.43,12.20,12.26,7.28,48347600.00
2/3/2012,12.47,12.84,12.39,12.79,7.59,78851200.00
2/6/2012,12.85,13.00,12.71,12.96,7.69,46363300.00
2/7/2012,12.93,12.97,12.83,12.88,7.64,39413500.00
2/8/2012,12.91,12.96,12.80,12.84,7.62,35352500.00
2/9/2012,12.89,12.90,12.67,12.69,7.53,52290500.00
2/10/2012,12.52,12.66,12.37,12.44,7.38,52505500.00
2/13/2012,12.74,12.74,12.51,12.54,7.44,34474400.00
2/14/2012,12.46,12.58,12.34,12.48,7.41,39627900.00
2/15/2012,12.47,12.57,12.33,12.38,7.35,38174800.00
2/16/2012,12.38,12.77,12.38,12.74,7.56,49164400.00
2/17/2012,12.84,12.88,12.71,12.75,7.57,30778000.00
2/21/2012,12.74,12.76,12.46,12.53,7.44,38409800.00
2/22/2012,12.49,12.51,12.22,12.28,7.29,43326000.00
2/23/2012,12.27,12.44,12.16,12.40,7.36,36747600.00
2/24/2012,12.43,12.46,12.19,12.23,7.26,31399300.00
2/27/2012,12.11,12.36,11.99,12.30,7.30,38703400.00
2/28/2012,12.34,12.35,12.20,12.25,7.27,30789000.00
2/29/2012,12.28,12.55,12.25,12.38,7.35,62093700.00
3/1/2012,12.48,12.77,12.45,12.66,7.51,68262000.00
3/2/2012,12.74,12.94,12.68,12.72,7.55,49063500.00
3/5/2012,12.67,12.68,12.41,12.46,7.39,28433700.00
3/6/2012,12.23,12.25,12.00,12.09,7.17,57374500.00
3/7/2012,12.21,12.30,12.15,12.24,7.26,28440900.00
3/8/2012,12.41,12.55,12.32,12.46,7.39,37099100.00
3/9/2012,12.53,12.73,12.48,12.58,7.47,36159300.00
3/12/2012,12.57,12.59,12.37,12.43,7.38,30275700.00
3/13/2012,12.48,12.72,12.40,12.70,7.54,42783600.00
3/14/2012,12.64,12.90,12.63,12.88,7.64,47578500.00
3/15/2012,12.90,13.04,12.83,12.90,7.66,55286600.00
3/16/2012,12.86,12.90,12.51,12.51,7.42,77119600.00
3/19/2012,12.52,12.68,12.48,12.63,7.50,52445700.00
3/20/2012,12.48,12.61,12.39,12.54,7.44,40214400.00
3/21/2012,12.59,12.67,12.55,12.57,7.46,27521400.00
3/22/2012,12.48,12.54,12.24,12.32,7.31,50117100.00
3/23/2012,12.31,12.37,12.18,12.32,7.31,44755000.00
3/26/2012,12.45,12.50,12.39,12.48,7.41,26692200.00
3/27/2012,12.51,12.61,12.30,12.32,7.31,35070700.00
3/28/2012,12.35,12.36,12.18,12.32,7.31,41051700.00
3/29/2012,12.33,12.52,12.24,12.50,7.42,51039700.00
3/30/2012,12.55,12.58,12.40,12.48,7.41,36381000.00
4/2/2012,12.50,12.65,12.44,12.62,7.49,43966900.00
4/3/2012,12.71,12.95,12.46,12.64,7.50,97034200.00
4/4/2012,12.46,12.52,12.32,12.51,7.42,51505000.00
4/5/2012,12.38,12.58,12.38,12.47,7.40,37939500.00
4/9/2012,12.26,12.29,12.11,12.22,7.25,42515300.00
4/10/2012,12.19,12.28,11.65,11.79,7.00,77370300.00
4/11/2012,11.99,12.02,11.88,11.91,7.07,34724400.00
4/12/2012,11.94,12.13,11.86,12.07,7.16,26988800.00
4/13/2012,11.98,12.03,11.84,11.92,7.07,39675000.00
4/16/2012,12.01,12.05,11.83,11.88,7.05,31903500.00
4/17/2012,11.98,12.00,11.88,11.91,7.07,35981200.00
