Date,Open,High,Low,Close,Adj Close,Volume
1/3/2012,67.39,67.90,67.31,67.78,59.59,377100.00
1/4/2012,68.23,68.68,68.07,68.43,60.16,501600.00
1/5/2012,68.50,68.83,68.37,68.62,60.32,343700.00
1/6/2012,68.52,68.60,68.22,68.51,60.23,212000.00
1/9/2012,68.50,68.71,68.22,68.42,60.15,301700.00
1/10/2012,68.51,68.91,68.44,68.67,60.37,352800.00
1/11/2012,68.20,68.68,67.86,68.60,60.31,257900.00
1/12/2012,68.07,68.31,67.88,68.14,59.90,512900.00
1/13/2012,68.07,68.45,68.00,68.26,60.01,223200.00
1/17/2012,67.93,68.02,67.61,67.64,59.46,456700.00
1/18/2012,67.58,68.03,67.27,67.85,59.65,906500.00
1/19/2012,68.59,69.29,68.56,69.09,60.74,934300.00
1/20/2012,70.37,71.42,70.30,71.40,62.77,704100.00
1/23/2012,71.23,71.59,71.00,71.15,62.55,641900.00
1/24/2012,72.01,72.40,71.50,72.33,63.59,636300.00
1/25/2012,73.21,74.39,72.88,74.22,65.25,1152600.00
1/26/2012,74.77,74.88,74.39,74.59,65.57,837900.00
1/27/2012,73.89,74.21,73.40,73.57,64.68,427000.00
1/30/2012,72.93,73.33,72.47,73.11,64.27,263100.00
1/31/2012,73.74,74.00,73.19,73.48,64.60,313200.00
2/1/2012,74.91,75.45,74.91,75.20,66.11,500500.00
2/2/2012,76.14,76.38,75.91,76.23,67.01,516300.00
2/3/2012,76.46,76.77,76.27,76.47,67.23,501200.00
2/6/2012,77.58,78.08,77.40,77.71,68.32,662900.00
2/7/2012,79.48,80.00,79.00,79.61,69.99,1041100.00
2/8/2012,81.06,81.15,80.64,81.05,71.25,1049400.00
2/9/2012,81.34,81.50,80.61,80.88,71.10,701400.00
2/10/2012,78.94,79.04,78.16,78.39,68.91,707800.00
2/13/2012,78.80,79.16,78.78,78.91,69.37,377800.00
2/14/2012,79.87,80.00,79.57,80.00,70.33,573700.00
2/15/2012,82.90,83.09,82.38,82.56,72.58,954300.00
2/16/2012,83.01,83.72,82.84,83.65,73.54,1599600.00
2/17/2012,83.75,83.80,83.12,83.36,73.28,305600.00
2/21/2012,83.17,83.49,82.86,83.22,73.16,383900.00
2/22/2012,83.98,84.36,83.93,84.31,74.12,498900.00
2/23/2012,83.88,84.11,83.36,84.07,73.91,360700.00
2/24/2012,84.21,84.90,84.21,84.54,74.32,567600.00
2/27/2012,82.99,83.85,82.77,83.60,73.49,387800.00
2/28/2012,84.24,84.81,84.10,84.65,74.42,368500.00
2/29/2012,83.63,83.93,82.68,82.71,72.71,505400.00
3/1/2012,82.57,83.38,82.51,83.07,73.03,546000.00
3/2/2012,81.41,81.59,80.83,81.57,71.71,836600.00
3/5/2012,81.38,81.45,80.89,81.24,71.42,524300.00
3/6/2012,80.31,80.32,79.70,80.15,70.46,611700.00
3/7/2012,80.43,80.81,80.27,80.72,70.96,339000.00
3/8/2012,82.18,82.55,82.06,82.52,72.54,452400.00
3/9/2012,83.45,83.94,83.34,83.81,73.68,503000.00
