Date,Open,High,Low,Close,Adj Close,Volume
1/3/2012,1.93,1.97,1.84,1.87,1.87,13921500.00
1/4/2012,1.88,1.91,1.83,1.85,1.85,9451500.00
1/5/2012,1.85,1.86,1.79,1.81,1.81,15082500.00
1/6/2012,1.81,1.85,1.76,1.79,1.79,14794500.00
1/9/2012,1.80,1.83,1.74,1.82,1.82,13455000.00
1/10/2012,1.83,1.85,1.82,1.84,1.84,10077000.00
1/11/2012,1.84,1.89,1.82,1.88,1.88,10084500.00
1/12/2012,1.90,1.91,1.85,1.88,1.88,10939500.00
1/13/2012,1.89,1.90,1.51,1.52,1.52,82506000.00
1/17/2012,1.77,1.82,1.76,1.77,1.77,69774000.00
1/18/2012,1.78,1.79,1.75,1.79,1.79,18903000.00
1/19/2012,1.81,1.85,1.77,1.78,1.78,18694500.00
1/20/2012,1.79,1.80,1.76,1.77,1.77,9934500.00
1/23/2012,1.79,1.81,1.77,1.78,1.78,8919000.00
1/24/2012,1.78,1.85,1.76,1.83,1.83,12870000.00
1/25/2012,1.82,1.87,1.80,1.86,1.86,9168000.00
1/26/2012,1.87,1.97,1.87,1.93,1.93,19066500.00
1/27/2012,1.90,1.98,1.90,1.96,1.96,11226000.00
1/30/2012,1.97,1.97,1.90,1.97,1.97,10935000.00
1/31/2012,1.99,2.00,1.92,1.94,1.94,14346000.00
2/1/2012,1.94,1.98,1.93,1.97,1.97,7848000.00
2/2/2012,1.98,2.06,1.97,2.02,2.02,12085500.00
2/3/2012,2.03,2.09,2.02,2.08,2.08,11467500.00
2/6/2012,2.07,2.13,2.07,2.12,2.12,9781500.00
2/7/2012,2.12,2.12,2.05,2.11,2.11,15324000.00
2/8/2012,2.11,2.13,2.09,2.13,2.13,9355500.00
2/9/2012,2.13,2.19,2.10,2.17,2.17,19156500.00
2/10/2012,2.15,2.15,1.99,2.07,2.07,28113000.00
2/13/2012,2.10,2.14,2.06,2.10,2.10,17368500.00
2/14/2012,2.12,2.25,2.09,2.21,2.21,27162000.00
2/15/2012,2.21,2.29,2.15,2.24,2.24,41427000.00
2/16/2012,2.23,2.30,2.17,2.28,2.28,33295500.00
2/17/2012,2.27,2.33,2.23,2.33,2.33,20650500.00
2/21/2012,2.32,2.32,2.25,2.30,2.30,17037000.00
2/22/2012,2.30,2.31,2.17,2.28,2.28,24819000.00
2/23/2012,2.27,2.33,2.24,2.30,2.30,12306000.00
2/24/2012,2.28,2.30,2.22,2.25,2.25,14398500.00
2/27/2012,2.23,2.27,2.20,2.24,2.24,9090000.00
2/28/2012,2.24,2.30,2.21,2.25,2.25,9183000.00
2/29/2012,2.25,2.27,2.21,2.23,2.23,8035500.00
3/1/2012,2.23,2.30,2.22,2.29,2.29,10552500.00
3/2/2012,2.29,2.30,2.25,2.27,2.27,8250000.00
3/5/2012,2.29,2.29,2.23,2.25,2.25,7005000.00
3/6/2012,2.22,2.22,2.17,2.21,2.21,8607000.00
3/7/2012,2.21,2.22,2.19,2.21,2.21,5473500.00
3/8/2012,2.21,2.23,2.20,2.20,2.20,9499500.00
3/9/2012,2.21,2.35,2.21,2.32,2.32,23301000.00
3/12/2012,2.31,2.42,2.31,2.40,2.40,29449500.00
3/13/2012,2.43,2.44,2.37,2.41,2.41,15024000.00
3/14/2012,2.40,2.40,2.32,2.35,2.35,12772500.00
3/15/2012,2.35,2.37,2.32,2.33,2.33,8574000.00
3/16/2012,2.33,2.39,2.32,2.35,2.35,10939500.00
3/19/2012,2.35,2.35,2.30,2.33,2.33,15234000.00
3/20/2012,2.33,2.35,2.30,2.33,2.33,8505000.00
3/21/2012,2.33,2.35,2.31,2.34,2.34,9108000.00
3/22/2012,2.33,2.34,2.29,2.29,2.29,7836000.00
3/23/2012,2.28,2.31,2.21,2.27,2.27,17559000.00
3/26/2012,2.37,2.54,2.34,2.49,2.49,47107500.00
3/27/2012,2.48,2.66,2.47,2.53,2.53,38088000.00
3/28/2012,2.52,2.56,2.47,2.52,2.52,14325000.00
3/29/2012,2.55,2.55,2.47,2.49,2.49,11946000.00
3/30/2012,2.50,2.53,2.45,2.48,2.48,13296000.00
4/2/2012,2.49,2.53,2.44,2.44,2.44,15429000.00
4/3/2012,2.45,2.56,2.44,2.53,2.53,16471500.00
4/4/2012,2.35,2.37,2.31,2.33,2.33,67227000.00
4/5/2012,2.34,2.36,2.29,2.30,2.30,22641000.00
4/9/2012,2.27,2.29,2.21,2.21,2.21,24835500.00
4/10/2012,2.21,2.26,2.14,2.16,2.16,27715500.00
4/11/2012,2.22,2.22,2.13,2.21,2.21,16582500.00
4/12/2012,2.25,2.30,2.19,2.23,2.23,15508500.00
4/13/2012,2.26,2.27,2.19,2.24,2.24,9744000.00
4/16/2012,2.23,2.25,2.14,2.15,2.15,16494000.00
4/17/2012,2.16,2.20,2.14,2.15,2.15,16732500.00
4/18/2012,2.14,2.18,2.10,2.18,2.18,12346500.00
4/19/2012,2.18,2.23,2.17,2.21,2.21,11623500.00
4/20/2012,2.21,2.25,2.20,2.21,2.21,12327000.00
4/23/2012,2.19,2.20,2.11,2.13,2.13,13362000.00
4/24/2012,2.12,2.15,2.07,2.12,2.12,10117500.00
4/25/2012,2.14,2.20,2.14,2.19,2.19,10683000.00
4/26/2012,2.20,2.23,2.19,2.23,2.23,6379500.00
4/27/2012,2.24,2.24,2.19,2.22,2.22,8865000.00
4/30/2012,2.22,2.22,2.17,2.21,2.21,6208500.00
5/1/2012,2.21,2.28,2.21,2.25,2.25,9885000.00
5/2/2012,2.23,2.29,2.23,2.26,2.26,7459500.00
5/3/2012,2.26,2.27,2.14,2.16,2.16,12619500.00
5/4/2012,2.15,2.16,2.09,2.12,2.12,18712500.00
5/7/2012,2.13,2.17,2.11,2.16,2.16,17370000.00
5/8/2012,2.17,2.18,1.96,2.01,2.01,46458000.00
5/9/2012,2.02,2.05,1.98,2.00,2.00,29218500.00
5/10/2012,2.20,2.31,2.16,2.20,2.20,83344500.00
5/11/2012,2.17,2.23,2.14,2.15,2.15,18319500.00
5/14/2012,2.13,2.14,2.00,2.00,2.00,20713500.00
5/15/2012,2.02,2.06,1.95,1.96,1.96,23785500.00
5/16/2012,1.97,2.01,1.93,1.95,1.95,18856500.00
5/17/2012,1.95,1.99,1.88,1.90,1.90,17235000.00
5/18/2012,1.89,1.90,1.79,1.84,1.84,24247500.00
5/21/2012,1.84,1.95,1.81,1.92,1.92,22128000.00
5/22/2012,2.01,2.09,2.00,2.05,2.05,35493000.00
5/23/2012,2.04,2.07,1.97,2.07,2.07,18306000.00
5/24/2012,2.08,2.08,1.98,2.02,2.02,16134000.00
5/25/2012,2.01,2.03,1.95,1.99,1.99,11355000.00
5/29/2012,2.00,2.13,2.00,2.11,2.11,24750000.00
5/30/2012,2.07,2.09,2.02,2.03,2.03,19608000.00
5/31/2012,2.00,2.02,1.92,1.97,1.97,16780500.00
6/1/2012,1.90,1.94,1.85,1.88,1.88,13287000.00
6/4/2012,1.87,1.89,1.81,1.86,1.86,15463500.00
6/5/2012,1.86,1.89,1.84,1.86,1.86,9463500.00
6/6/2012,1.88,1.96,1.88,1.95,1.95,13648500.00
6/7/2012,1.99,1.99,1.92,1.93,1.93,7381500.00
6/8/2012,1.92,2.01,1.88,2.01,2.01,13216500.00
6/11/2012,2.02,2.07,1.93,1.94,1.94,9540000.00
6/12/2012,1.95,1.99,1.92,1.98,1.98,8535000.00
6/13/2012,1.97,2.04,1.96,1.98,1.98,12661500.00
6/14/2012,2.01,2.04,1.91,1.96,1.96,13083000.00
6/15/2012,1.96,2.00,1.92,1.99,1.99,9702000.00
6/18/2012,2.00,2.16,1.97,2.12,2.12,18852000.00
6/19/2012,2.13,2.18,2.10,2.14,2.14,13666500.00
6/20/2012,2.23,2.30,2.21,2.25,2.25,51336000.00
6/21/2012,2.28,2.29,2.12,2.15,2.15,28378500.00
6/22/2012,2.17,2.27,2.16,2.25,2.25,45699000.00
6/25/2012,2.26,2.27,2.18,2.21,2.21,22477500.00
6/26/2012,2.14,2.16,2.09,2.11,2.11,39208500.00
6/27/2012,2.13,2.16,2.10,2.13,2.13,15708000.00
6/28/2012,2.13,2.14,2.04,2.09,2.09,13711500.00
6/29/2012,2.19,2.19,2.07,2.09,2.09,16887000.00
7/2/2012,2.09,2.12,2.01,2.03,2.03,19734000.00
7/3/2012,2.04,2.07,2.03,2.04,2.04,14205000.00
7/5/2012,2.05,2.11,2.05,2.08,2.08,18807000.00
7/6/2012,2.07,2.12,2.05,2.07,2.07,11767500.00
7/9/2012,2.06,2.12,2.04,2.10,2.10,13657500.00
7/10/2012,2.10,2.17,2.06,2.08,2.08,11376000.00
7/11/2012,2.10,2.11,2.07,2.10,2.10,9579000.00
7/12/2012,2.09,2.20,2.05,2.18,2.18,16885500.00
7/13/2012,2.20,2.29,2.19,2.28,2.28,19572000.00
7/16/2012,2.29,2.40,2.26,2.40,2.40,26160000.00
7/17/2012,2.33,2.35,2.16,2.22,2.22,38539500.00
7/18/2012,2.09,2.24,2.07,2.14,2.14,43228500.00
7/19/2012,2.18,2.21,2.14,2.15,2.15,21538500.00
7/20/2012,2.14,2.15,2.08,2.12,2.12,23527500.00
7/23/2012,2.07,2.09,2.04,2.04,2.04,20802000.00
7/24/2012,2.04,2.07,1.97,1.99,1.99,22504500.00
7/25/2012,1.99,2.00,1.92,1.93,1.93,42633000.00
7/26/2012,1.99,2.00,1.84,1.88,1.88,33934500.00
7/27/2012,1.91,1.98,1.87,1.97,1.97,25095000.00
7/30/2012,1.97,2.02,1.81,1.82,1.82,30978000.00
7/31/2012,1.84,1.86,1.82,1.83,1.83,23626500.00
8/1/2012,1.87,1.87,1.74,1.75,1.75,23884500.00
8/2/2012,1.79,1.79,1.70,1.74,1.74,19576500.00
8/3/2012,1.79,1.84,1.78,1.82,1.82,18142500.00
8/6/2012,1.84,1.91,1.84,1.88,1.88,22923000.00
8/7/2012,1.92,2.06,1.90,2.02,2.02,35808000.00
8/8/2012,1.99,2.00,1.91,1.94,1.94,19633500.00
8/9/2012,1.97,2.00,1.94,1.96,1.96,10089000.00
8/10/2012,1.95,2.00,1.95,2.00,2.00,10611000.00
8/13/2012,1.98,2.09,1.94,2.08,2.08,13051500.00
8/14/2012,2.05,2.08,1.95,1.96,1.96,11901000.00
8/15/2012,1.96,1.98,1.92,1.96,1.96,7881000.00
8/16/2012,1.97,2.03,1.97,2.02,2.02,10035000.00
8/17/2012,2.02,2.05,2.00,2.00,2.00,7623000.00
8/20/2012,2.01,2.03,1.94,1.97,1.97,17686500.00
8/21/2012,1.97,2.00,1.93,1.94,1.94,11424000.00
8/22/2012,1.93,2.00,1.93,2.00,2.00,11632500.00
8/23/2012,2.00,2.06,1.98,2.05,2.05,22065000.00
8/24/2012,2.00,2.02,1.96,1.97,1.97,21441000.00
8/27/2012,1.97,1.98,1.88,1.89,1.89,20256000.00
8/28/2012,1.89,1.96,1.87,1.91,1.91,21040500.00
8/29/2012,1.90,1.91,1.87,1.89,1.89,12583500.00
8/30/2012,1.91,1.92,1.87,1.89,1.89,9846000.00
8/31/2012,1.91,1.92,1.88,1.90,1.90,8097000.00
9/4/2012,1.90,1.93,1.86,1.88,1.88,11287500.00
9/5/2012,1.87,1.90,1.85,1.86,1.86,9589500.00
9/6/2012,1.87,1.93,1.86,1.90,1.90,12625500.00
9/7/2012,1.90,1.97,1.90,1.96,1.96,14298000.00
9/10/2012,1.95,1.96,1.82,1.82,1.82,22249500.00
9/11/2012,1.85,1.88,1.83,1.85,1.85,15223500.00
9/12/2012,1.86,1.91,1.85,1.89,1.89,17178000.00
9/13/2012,1.90,1.97,1.90,1.97,1.97,22270500.00
9/14/2012,2.00,2.04,1.98,2.03,2.03,23049000.00
9/17/2012,2.16,2.19,2.10,2.17,2.17,48192000.00
9/18/2012,2.13,2.13,2.05,2.09,2.09,26827500.00
9/19/2012,2.07,2.12,2.06,2.07,2.07,15727500.00
9/20/2012,2.06,2.10,2.05,2.06,2.06,13686000.00
9/21/2012,2.07,2.10,1.97,2.00,2.00,28050000.00
9/24/2012,1.97,2.07,1.96,2.04,2.04,19528500.00
9/25/2012,1.91,1.97,1.84,1.84,1.84,85206000.00
9/26/2012,1.84,1.89,1.83,1.84,1.84,22908000.00
9/27/2012,1.85,1.90,1.84,1.90,1.90,26379000.00
9/28/2012,1.92,1.99,1.91,1.95,1.95,65151000.00
10/1/2012,1.97,1.99,1.93,1.94,1.94,13266000.00
10/2/2012,1.95,1.99,1.93,1.99,1.99,10935000.00
